row_id,description,player_counts_min_players,player_counts_max_players,playtime_min_playtime,playtime_max_playtime,boardgame,minimum_age,game_info_release_year,game_info_categories,game_info_mechanisms,game_info_family,credits_designers,credits_solo_designer,credits_artists,credits_publishers,credits_developer,credits_graphic_designer,credits_sculptor,credits_editor,credits_writer,credits_insert_designer,game_stats_average_rating,game_stats_num_of_ratings,game_stats_std_deviation,game_stats_weight,game_stats_comments,game_stats_fans,game_stats_page_views,ranks_overall,ranks_strategy,play_stats_all_time_plays,play_stats_this_month_plays,collection_stats_own,collection_stats_previously_owned,collection_stats_for_trade,collection_stats_want_in_trade,collection_stats_wishlist,ratings_rated_1,ratings_rated_2,ratings_rated_3,ratings_rated_4,ratings_rated_5,ratings_rated_6,ratings_rated_7,ratings_rated_8,ratings_rated_9,ratings_rated_10,link_to_game,suggested_retail_price_usd,amazon_price_usd,boardgamebliss_price_cad,boardgamebliss_price_usd,philibert_price_eur,philibert_price_usd,zatu_games_price_gbp,zatu_games_price_usd,ebay_price_usd,ranks_thematic,cardhaus_games_price_usd,miniature_market_price_usd,noble_knight_games_price_usd,boardtopia_price_usd,k&b_hobbies_and_games_price_cad,k&b_hobbies_and_games_price_usd,zulu's_board_game_cafe_price_usd,elevated_board_games_price_usd,collector_store_llc_price_usd,ranks_war,usedgames.ca_price_cad,usedgames.ca_price_usd,stonemaier_games_price_usd,ranks_customizable,ranks_family,ranks_abstract,renegade_game_studios_price_usd,ranks_party,fowers_games_price_usd,ranks_children's,bgg_store_price_usd
204,Travel the beautiful plains of the Pampas with your cattle.,1,4,75.0,150.0,Great Western Trail: Argentina,12.0,2022.0,Animals;Economic,"Deck, Bag, and Pool Building;Hand Management;Ownership;Set Collection;Solo / Solitaire Game;Track Movement;Variable Set-up",Animals: Cattle / Cows;Components: Control Boards;Country: Argentina;Game: Great Western Trail;Mechanism: Tableau Building;Players: Games with Solitaire Rules,Alexander Pfister,Wil Gerken;Steve Schlepphorst,Chris Quilliams,eggertspiele;Arclight Games;Delta Vision Publishing;Ediciones MasQueOca;Galápagos Jogos;Ghenos Games;Lookout Games;Rebel Sp. z o.o.;Yayoi The Dreamer;Zvezda,André Bierth,,,,,,8.248,4892,1.23,3.91,690,441,512696,204,104.0,14315,142,8688,727,121,248,1529,9,5,20,23,67,216,621,1600,1600,740,https://boardgamegeek.com/boardgame/364011/great-western-trail-argentina,74.99,59.99,74.95,53.94,,,32.49,43.64,39.99,,49.99,44.99,59.95,,,,,,,,,,,,,,,,,,
205,Wildly different factions vie for control of Arrakis through alliance and treachery.,2,6,120.0,180.0,Dune,14.0,2019.0,Bluffing;Fighting;Negotiation;Novel-based;Political;Science Fiction;Wargame,Alliances;Area Majority / Influence;Area Movement;Auction / Bidding;Bribery;Card Play Conflict Resolution;Force Commitment;Map Deformation;Negotiation;Predictive Bid;Roles with Asymmetric Information;Take That;Variable Player Powers,Animals: Worms;Books: Dune;Components: Player Screens;Theme: Deserts,Bill Eberle;Jack Kittredge;Peter Olotka,,Ilya Baranovsky,"Gale Force Nine, LLC;Lavka Games;Surfin' Meeple China",,Casey Davies;Victor Pesch,,,,,7.924,10081,1.61,3.98,2027,1474,1971568,205,150.0,13367,71,21413,1445,304,410,5116,38,59,94,152,332,857,1700,2700,2300,1800,https://boardgamegeek.com/boardgame/283355/dune,,,,,,,,,18.17,48.0,,,85.0,,,,,,,,,,,,,,,,,,
206,Civilians trapped in a war-torn city must make difficult decisions to survive.,1,6,45.0,120.0,This War of Mine: The Board Game,18.0,2017.0,Adventure;Exploration;Mature / Adult;Modern Warfare;Video Game Theme,Action Points;Cooperative Game;Dice Rolling;Events;Grid Movement;Narrative Choice / Paragraph;Push Your Luck;Role Playing;Scenario / Mission / Campaign Game;Simulation;Solo / Solitaire Game;Storytelling;Variable Player Powers;Worker Placement,Components: Miniatures;Crowdfunding: Kickstarter;Game: This War of Mine (Awaken Realms);Mechanism: Campaign Games;Players: Games with Solitaire Rules;Theme: Survival,Michał Oracz;Jakub Wiśniewski,,Piotr Gacek;Maszrum;Paweł Niziołek;Michał Oracz;Jakub Wiśniewski,"Awaken Realms;11 bit studios;Albi;Ares Games;asmodee;CrowD Games;Edge Entertainment;Elznir Games;Galakta;Galápagos Jogos;MYBG Co., Ltd.;Pendragon Game Studio;Summon Games;Ігромаг",,,,,,,7.766,14108,1.56,3.33,2616,1865,1919345,206,,28377,80,26504,3907,420,550,6621,60,72,158,233,505,1200,2700,4400,3100,1700,https://boardgamegeek.com/boardgame/188920/this-war-of-mine-the-board-game,69.99,65.88,,,,,57.45,77.16,46.99,49.0,60.99,,44.0,,,,,59.99,,,,,,,,,,,,,
207,Rival chaos gods send forth their minions to spread corruption and destruction.,3,4,60.0,120.0,Chaos in the Old World,13.0,2009.0,Fantasy;Fighting;Horror;Mythology;Wargame,Action Points;Area Majority / Influence;Area Movement;Dice Rolling;Events;Hand Management;Role Playing;Take That;Variable Player Powers,Components: Control Boards;Components: Miniatures;Digital Implementations: VASSAL;Setting: Warhammer Fantasy Board Games;Theme: Villainy,Eric M. Lang,,Tim Arney-O'Neil;Kevin Childress;Andrew Navaro;Brian Schomburg;WiL Springer,Fantasy Flight Games;Edge Entertainment;Galakta;Heidelberger Spieleverlag;Hobby Japan;Nexus Editrice,,Andrew Navaro,,,,,7.659,15989,1.48,3.2,3210,1381,1824533,207,155.0,28829,44,16311,2624,274,846,4343,70,56,132,263,590,1500,3500,5000,3300,1500,https://boardgamegeek.com/boardgame/43111/chaos-in-the-old-world,,,,,,,,,7.95,47.0,,,160.0,,,,,,,,185.0,133.14,,,,,,,,,
208,"Rings, Fellowship, diplomacy and war in the Third Age of Middle Earth.",2,4,120.0,120.0,War of the Ring,12.0,2004.0,Adventure;Fantasy;Fighting;Novel-based;Territory Building;Wargame,Action Points;Area Majority / Influence;Area Movement;Campaign / Battle Card Driven;Dice Rolling;Events;Hand Management,Authors: J.R.R. Tolkien;Components: Map (Continental / National scale);Components: Miniatures;Components: Multi-Use Cards;Misc: Dice Tower Hall of Fame;Series: War of the Ring (Nexus/Ares Games),Roberto Di Meglio;Marco Maggi;Francesco Nepitello,,John Howe;Matteo Macchi;Fabio Maiorana;Mizio Mencarini;Bob Naismith,Ares Games;asmodee;Devir;Fantasy Flight Games;Fantasy Shop;Galakta;Heidelberger Spieleverlag;Nexus Editrice;Phalanx Games B.V.;Red Glove;Sophisticated Games;Tilsit,,,,,,,7.779,10890,1.63,3.85,3067,883,2258106,208,,14544,7,14091,2457,391,406,2282,86,52,106,206,376,935,2100,3100,2500,1500,https://boardgamegeek.com/boardgame/9609/war-of-the-ring,,96.81,,,,,75.95,102.0,50.0,40.0,89.99,95.99,50.0,,,,,,,21.0,,,,,,,,,,,
209,Start your journey into nature and collect cards to become a true nature observer.,1,4,60.0,90.0,Meadow,10.0,2021.0,Animals;Card Game;Environmental;Puzzle,"Hand Management;Layering;Open Drafting;Set Collection;Solo / Solitaire Game;Worker Placement, Different Worker Types",Digital Implementations: Tabletopia;Game: Meadow (Rebel Studio);Mechanism: Tableau Building;Theme: Ecology;Theme: Nature;Theme: Trees and Forests,Klemens Kalicki,,Karolina Kijak;Katarzyna Fiebiger,Rebel Studio;ADC Blackfire Entertainment;Arclight Games;Galápagos Jogos;Games4you;Gém Klub Kft.;Hobby Game Mall;Hobby World;Rebel Sp. z o.o.;Ігромаг,Przemek Wojtkowiak,Katarzyna Fiebiger,,Bryan Gerding;Nordy,Agnieszka Możejko,,7.711,12730,1.22,2.25,1944,1222,1029114,209,159.0,53238,440,23894,1907,246,503,4926,8,25,46,113,345,968,2900,5000,2400,829,https://boardgamegeek.com/boardgame/314491/meadow,54.99,43.99,48.95,35.23,,,35.99,48.34,34.24,,,43.99,44.0,,58.99,42.45,43.99,43.99,,,,,,,30.0,,,,,,
210,Draft cards to develop your ancient civilization and build its Wonder of the World.,3,7,30.0,30.0,7 Wonders (Second Edition),10.0,2020.0,Ancient;Card Game;City Building;Civilization;Economic,Closed Drafting;Hand Management;Neighbor Scope;Set Collection;Simultaneous Action Selection;Variable Player Powers,Category: Dized Tutorial;Constructions: Pyramids;Constructions: The Hanging Gardens of Babylon;Digital Implementations: Board Game Arena;Game: 7 Wonders;Mechanism: Tableau Building;Misc: Watch It Played How To Videos,Antoine Bauza,,Miguel Coimbra,Repos Production;ADC Blackfire Entertainment;Galápagos Jogos;Gém Klub Kft.;HaKubia;Hobby Japan;KADABRA;Kaissa Chess & Games;Korea Boardgames;Lifestyle Boardgames Ltd;Rebel Sp. z o.o.;Ігромаг,,,,,,,7.831,10370,1.26,2.3,1239,747,534476,210,164.0,48366,460,17303,844,133,124,2013,26,17,30,79,210,659,2400,3900,2000,999,https://boardgamegeek.com/boardgame/316377/7-wonders-second-edition,59.99,46.05,51.95,37.39,42.95,49.91,,,4.99,,,,50.0,,,,,,47.99,,,,,,29.0,,,,,,
211,Revisit the battles of D-Day and control the forces of the Allies and the Axis!,2,8,30.0,60.0,Memoir '44,8.0,2004.0,Miniatures;Wargame;World War II,Area Majority / Influence;Campaign / Battle Card Driven;Command Cards;Dice Rolling;Die Icon Resolution;Grid Movement;Hand Management;Hexagon Grid;Line of Sight;Modular Board;Movement Points;Scenario / Mission / Campaign Game;Simulation;Team-Based Game;Variable Set-up,Components: Miniatures;Country: France;Country: Germany;Country: USA;Digital Implementations: Board Game Arena;Game: Memoir '44;Misc: Dice Tower Hall of Fame;Players: Two-Player Only Games;Players: Wargames with Rules Supporting Only Two Players;Series: Commands & Colors,Richard Borg,,Cyrille Daujean;Julien Delval;Don Perrin;Claude Rica,Days of Wonder;ADC Blackfire Entertainment;Edge Entertainment;Spielworxx,Jesse Rasmussen,Caroline Sébayhi,Yannick Hennebo;Adrien Martinot,Jesse Rasmussen,Jesse Rasmussen,,7.532,31211,1.39,2.27,7377,2363,3094436,211,,179373,586,41993,5772,791,934,6651,60,96,243,498,1200,3400,8000,10000,5200,2200,https://boardgamegeek.com/boardgame/10630/memoir-44,,,,,,,,,1.25,,,69.99,52.0,,,,,69.99,,68.0,,,,,,,,,,,
212,Lead a construction team to build Saint Basil's Cathedral under the Tsar's reign.,1,4,80.0,80.0,The Red Cathedral,10.0,2020.0,Dice;Economic,Area Majority / Influence;Contracts;Dice Rolling;End Game Bonuses;Rondel;Solo / Solitaire Game;Victory Points as a Resource,Category: Dized Tutorial;Cities: Moscow (Russia);Components: Control Boards;Country: Russia;Digital Implementations: Tabletopia;Digital Implementations: Yucata;Game: The Red Cathedral;Mechanism: Tableau Building;Occupation: Builder;Series: Small Box Euros (Devir);Theme: Construction,Isra C.;Shei S.,,Chema Román;Pedro Soto,Devir;999 Games;Banana Games;BoardBros;GaGa Games;Hobby Game Mall;IELLO;KOSMOS;Portal Games;Reflexshop;Sugorokuya,David Esbri,Jordi Roca Parse,,David Esbri;Nordy,,,7.674,14471,1.10,2.82,1943,1004,958027,212,162.0,50510,403,26665,2393,322,385,3063,7,11,38,100,291,1100,3600,6300,2400,679,https://boardgamegeek.com/boardgame/227224/the-red-cathedral,,33.87,35.95,25.87,,,23.89,32.09,19.99,,,,24.0,,,,,,,,,,,,,,,,,,
213,Fight the Overlord and level up your heroes in this fantasy dungeon campaign.,1,5,120.0,120.0,Descent: Journeys in the Dark (Second Edition),14.0,2012.0,Adventure;Exploration;Fantasy;Fighting;Miniatures,Action Points;Dice Rolling;Grid Movement;Hand Management;Line of Sight;Map Addition;Modular Board;Movement Points;Multiple Maps;Once-Per-Game Abilities;Role Playing;Scenario / Mission / Campaign Game;Solo / Solitaire Game;Stat Check Resolution;Team-Based Game;Variable Player Powers,Category: Dungeon Crawler;Components: Miniatures;Creatures: Monsters;Game: Descent – Journeys in the Dark;Mechanism: Campaign Games;Misc: Watch It Played How To Videos;Players: Games with Solitaire Rules;Players: One versus Many;Setting: The Realms of Terrinoth,Daniel Clark (I);Corey Konieczka;Adam Sadler;Kevin Wilson,,Alex Aparin;Devon Caddy-Lee;Sylvain Decaux;Tod Gelle;Charlène le Scanff;Thomas Lishman;Henning Ludvigsen;Dallas Mehlhoff;Sandara Tang;Allison Theus,Fantasy Flight Games;ADC Blackfire Entertainment;Arclight Games;Delta Vision Publishing;Edge Entertainment;Galakta;Giochi Uniti;Heidelberger Spieleverlag;Hobby World;Wargames Club Publishing,Jason Walden,,,Adam Baker,,,7.608,25779,1.49,3.21,4351,3432,4294491,213,,74827,111,40952,6411,981,632,6545,63,118,230,445,1000,2800,5900,8000,4900,2500,https://boardgamegeek.com/boardgame/104162/descent-journeys-in-the-dark-second-edition,,189.99,,,,,,,1.4,60.0,,,12.0,,,,,,,,,,,,,,,,,,
214,Craft the best stained-glass windows by carefully placing colorful transparent dice.,1,4,30.0,45.0,Sagrada,14.0,2017.0,Dice;Puzzle,Contracts;Dice Rolling;End Game Bonuses;Grid Coverage;Open Drafting;Pattern Building;Set Collection;Solo / Solitaire Game;Turn Order: Progressive;Variable Set-up,Category: Dized Tutorial;Cities: Barcelona (Spain);Components: Dice as Playing Units;Crowdfunding: Kickstarter;Digital Implementations: Apple App Store;Digital Implementations: Dire Wolf Game Room;Digital Implementations: Google Play;Digital Implementations: Steam;Game: Sagrada;Mechanism: Dice Drafting;Misc: Watch It Played How To Videos;Organizations: The Game Artisans of Canada;Players: Games with Solitaire Rules;Theme: Art;Theme: Art style – Art Nouveau;Theme: Stained glass,Adrian Adamescu;Daryl Andrews,,Peter Wocken,Floodgate Games;Cranio Creations;CrowD Games;Devir;Engames;FoxGames;Galápagos Jogos;Geekach LLC;Lanlalen;Lex Games;Mandoo Games;Matagot;MEBO Games;MINDOK;MIPL;One Moment Games;Pegasus Spiele;Reflexshop;Yes Papa Games,,,,,,,7.471,45379,1.16,1.92,6263,2320,1906915,214,,295789,1466,75635,5114,635,829,9482,37,54,174,410,1400,4600,14000,17000,5900,1900,https://boardgamegeek.com/boardgame/199561/sagrada,44.95,35.75,45.95,33.07,,,30.95,41.57,16.99,,39.99,,34.95,29.98,,,39.99,,,,,,,,46.0,9.0,,,,,
215,Four types of auctions challenge players in this classic game of art speculation.,3,5,45.0,45.0,Modern Art,10.0,1992.0,Card Game;Economic,Auction / Bidding;Auction: English;Auction: Once Around;Auction: Sealed Bid;Auction: Turn Order Until Pass;Commodity Speculation;Hand Management;Victory Points as a Resource,Components: Player Screens;Misc: Dice Tower Hall of Fame;Misc: LongPack Games;Series: 31 Minutos (Fractal Juegos);Series: Book Box (DiceTree);Theme: Art;Theme: Fine Art and Art Museums;Theme: Painting / Paintings,Reiner Knizia,,Carole Carrion;Manuel Carvalho;Chen Cheng-po;Mike Doyle (I);Pete Fenlon;Gianfranco Giordano;Paul Laane;Ramon Martins;Daniel Melim;Rafael Silveira;Sigrid Thaler;Zeilbeck & Natzeck Design Company,"Hans im Glück;Arrakis Games;CMON Global Limited;DiceTree Games;Drosselmeyer & Co. Ltd.;Fractal Juegos;Galápagos Jogos;GeGe Co. Ltd.;Kaissa Chess & Games;Land of Beautiful Mind (سرزمین ذهن زیبا);Lautapelit.fi;Lavka Games;Lighthouse Games;Matagot;Mayfair Games;New Games Order, LLC;Odysseia Jogos;Oink Games;Pegasus Spiele;Phantasia Co., Ltd;Rebel Sp. z o.o.;Wargames Club Publishing;WoodCat",,Fabio de Castro,,,,,7.517,24344,1.31,2.28,5682,967,1686577,215,166.0,57511,251,32059,3599,515,906,6045,50,71,135,326,870,2600,6500,8600,4100,1400,https://boardgamegeek.com/boardgame/118/modern-art,,31.95,,,,,21.99,29.53,28.89,,,27.99,15.0,,,,,,,,,,,,,,,,,,
216,Defend or depose the Toyotomi heir by commanding the loyalty of the feudal lords.,2,2,180.0,180.0,Sekigahara: The Unification of Japan,14.0,2011.0,Civil War;Pike and Shot;Wargame,Action Points;Card Play Conflict Resolution;Force Commitment;Hand Management;Point to Point Movement;Secret Unit Deployment;Turn Order: Auction;Variable Set-up,Components: Block Wargames;Components: Map (Continental / National scale);Components: Multi-Use Cards;Country: Japan;Digital Implementations: Yucata;History: Sengoku Period;Players: Two-Player Only Games;Players: Wargames with Rules Supporting Only Two Players;Series: Sekigahara mechanism,Matt Calkins,,Rodger B. MacGowan;Mark Mahaffey,GMT Games;Devir;GaGa Games;Korea Boardgames,,,,,,,7.995,6430,1.30,2.8,1624,724,1247196,216,,13083,38,11109,1344,174,605,3508,21,11,31,54,124,362,1100,2300,1800,661,https://boardgamegeek.com/boardgame/25021/sekigahara-the-unification-of-japan,,66.49,75.95,54.66,,,,,45.0,,62.99,,40.0,,,,,,,9.0,,,,,,,,,,,
217,Conquer the galaxy with shifting alliances and the unique powers of your alien race.,3,5,60.0,120.0,Cosmic Encounter,12.0,2008.0,Bluffing;Negotiation;Science Fiction;Space Exploration,Alliances;Card Play Conflict Resolution;Hand Management;Interrupts;Negotiation;Prisoner's Dilemma;Race;Simultaneous Action Selection;Take That;Trading;Variable Player Powers,Creatures: Aliens / Extraterrestrials;Digital Implementations: TableTop Simulator Mod (TTS);Digital Implementations: VASSAL;Game: Cosmic Encounter,Bill Eberle;Jack Kittredge;Bill Norton;Peter Olotka;Kevin Wilson,,Andrew Navaro;Ryan Barger;Felicia Cano;Sabe Lewellyn;Brian Schomburg;WiL Springer,Fantasy Flight Games;Arclight Games;Asterion Press;Edge Entertainment;Galakta;Heidelberger Spieleverlag;House of Monks,,Andrew Navaro,,,,,7.509,34247,1.70,2.58,6760,2454,2872733,217,199.0,85567,146,42696,5300,712,1109,9511,141,262,551,927,1700,3900,7500,9000,5800,4400,https://boardgamegeek.com/boardgame/39463/cosmic-encounter,76.99,66.59,,,,,,,5.0,70.0,61.59,,62.0,,,,,61.99,,,,,,,,,,,,,
218,Amass spaceships for your fleet as you roll your way to domination.,2,5,60.0,60.0,Space Base,14.0,2018.0,Dice;Science Fiction;Space Exploration,Dice Rolling;Open Drafting;Random Production,Digital Implementations: Board Game Arena;Digital Implementations: Sovranti;Game: Space Base;Mechanism: Tableau Building,John D. Clair,,Chris Walton,Alderac Entertainment Group;Arclight Games;Broadway Toys LTD;Edge Entertainment;Lavka Games;Maldito Games,,,,,,,7.539,21861,1.27,2.13,3277,1052,1277523,218,,256649,1937,30043,2581,275,753,5710,29,57,115,272,736,2000,5900,8000,3600,1100,https://boardgamegeek.com/boardgame/242302/space-base,,44.99,,,,,,,29.5,,,,,35.99,49.99,35.98,,35.99,,,,,,,42.0,,,,,,
219,Choose and play tiles to satisfy the king's whims and build the best fantasy castle.,1,4,90.0,90.0,Castles of Mad King Ludwig,13.0,2014.0,Post-Napoleonic;Puzzle,"End Game Bonuses;Hidden Victory Points;I Cut, You Choose;Increase Value of Unchosen Resources;Pattern Building;Set Collection;Tile Placement;Turn Order: Progressive",Components: Game Trayz Inside;Components: Polyominoes;Country: Germany;Crowdfunding: Wspieram;Digital Implementations: Board Game Arena;Digital Implementations: Tabletopia;Game: Castles of Mad King Ludwig;Misc: Made by Panda;Misc: Mensa Select;Misc: Watch It Played How To Videos;Occupation: Architect;Players: Games with Solitaire Rules;Theme: Construction,Ted Alspach,,Ted Alspach;Keith Curtis;Agnieszka Dabrowiecka;Ollin Timm,"Bézier Games;Arclight Games;Competo / Marektoy;CrowD Games;Gemenot;Korea Boardgames;Lautapelit.fi;Lucky Duck Games;Maldito Games;MINDOK;MYBG Co., Ltd.;Planszoweczka.pl;Rawstone;Viravi Edicions",Dale Yu,Ted Alspach,,,,Noah Adelman,7.507,26954,1.25,2.65,4528,1212,1708249,219,174.0,91897,507,34914,4926,661,885,6705,39,48,139,290,911,2900,7500,9600,4300,1300,https://boardgamegeek.com/boardgame/155426/castles-of-mad-king-ludwig,,67.33,,,,,50.99,68.48,16.95,,53.99,,18.0,47.99,79.99,57.56,,,,,,,,,,,,,,,
220,The Rebels and Empire go head-to-head to eliminate one another's bases.,2,2,30.0,90.0,Star Wars: The Deckbuilding Game,12.0,2023.0,Card Game;Fighting;Movies / TV / Radio theme;Science Fiction,"Deck, Bag, and Pool Building;Open Drafting;Tug of War",Mechanics: Pure Deckbuilding;Movies: Star Wars;Players: Two-Player Only Games,Caleb Grace,,Jake Murray;David Ardila;Borja Pindado Arribas;Cristi Balanescu;Tiziano Baracchi;Colin Boyer;Matt Bradbury;Mark Bulahao;Rovina Cai;J. B. Casacop;Alexandre Dainche;Anthony Devine;Alexandr Elichev;Mariusz Gandzel;Sergey Glushakov;Steven Hamilton;Joel Hustak;Imaginary Studios;Nick Ingeneri;Michal Ivan;Tomasz Jedruszek;Jason Juta;Alex Kim;Leonid Kozienko;Raven Mimura;Mark Molnar;Ameen Naksewee;Vlad Ricean;Adam Schumpert;Stephen Somers;Darren Tan;Ryan Valle;Magali Villeneuve;Andreas Zafiratos;Ben Zweifel,Fantasy Flight Games;ADC Blackfire Entertainment;Bluebird Games;CoolPlay;Delta Vision Publishing;Galápagos Jogos;Geekach LLC;GoKids 玩樂小子;MTS Games;Rebel Sp. z o.o.,Molly Glover,Christopher Hosch;Laurence Smith,,B.D. Flory;Alex Werner,,,7.834,9388,1.16,2.04,1338,991,871217,220,160.0,48411,464,20565,877,223,218,2538,14,19,22,55,174,591,1900,4000,2000,608,https://boardgamegeek.com/boardgame/374173/star-wars-the-deckbuilding-game,41.99,30.39,39.95,28.75,33.9,39.39,29.89,40.14,14.74,,33.59,,33.59,,,,,,,,,,,,34.0,,,,,,
221,Promise and cajole your way to the top whilst running the East India Company.,1,6,90.0,240.0,John Company: Second Edition,13.0,2022.0,Economic;Educational;Negotiation;Political,Bribery;Dice Rolling;Negotiation;Push Your Luck;Simulation;Voting,Country: India;Crowdfunding: Kickstarter;Digital Implementations: TableTop Simulator Mod (TTS);History: Anglo-Indian Wars;Misc: GettingGames Tutorial Videos;Theme: Business/Management;Theme: Colonial,Cole Wehrle,Richard Wilkins,Jan Lipiński;Amita Pai,Wehrlegig Games;2Tomatoes Games;CrowD Games;Galakta;Galápagos Jogos;Giochix.it;Spielworxx;YOKA Games,Drew Wehrle,Jan Lipiński;Cole Wehrle,,Travis D. Hill,,,8.277,4784,1.71,4.46,1127,1056,1290139,221,122.0,11138,112,9373,629,109,444,3176,26,26,63,81,139,277,492,984,1400,1300,https://boardgamegeek.com/boardgame/332686/john-company-second-edition,,,,,,,85.99,115.49,,32.0,,,,89.47,,,,,,,,,,,,,,,,,
222,"Your Stone Age tribe must work together to eat, survive, and develop new tech.",2,4,45.0,60.0,Paleo,10.0,2020.0,Card Game;Exploration;Prehistoric,"Action / Event;Cooperative Game;Deck, Bag, and Pool Building;Memory;Scenario / Mission / Campaign Game;Simultaneous Action Selection;Variable Set-up",Animals: Mammoths;Animals: Wolves;Category: Dized Tutorial;Digital Implementations: Tabletopia;Mechanism: Campaign Games;Theme: Art;Theme: Survival,Peter Rustemeyer,,Dominik Mayer;Ingram Schell;Franz-Georg Stämmele,"Hans im Glück;999 Games;Albi;Arclight Games;Brädspel.se;Devir;Feelindigo;Giochi Uniti;Hobby World;Kaissa Chess & Games;Korea Boardgames;Lautapelit.fi;Lucky Duck Games;Oxygame;Spilbræt.dk;Swan Panasia Co., Ltd.;Z-Man Games",,,,,,,7.666,14763,1.28,2.65,1944,1393,1318240,222,177.0,76336,490,27466,2665,263,568,6591,23,41,77,146,427,1300,3500,5600,2800,960,https://boardgamegeek.com/boardgame/300531/paleo,63.99,51.41,,,42.95,49.91,44.99,60.42,29.13,57.0,51.19,,40.0,47.99,,,,,,,,,,,,,,,,,
223,Who can you trust? A game of social deduction set in King Arthur’s legendary realm.,5,10,30.0,30.0,The Resistance: Avalon,13.0,2012.0,Bluffing;Card Game;Deduction;Fantasy;Medieval;Negotiation;Party Game;Spies / Secret Agents,Finale Ending;Hidden Roles;Roles with Asymmetric Information;Simultaneous Action Selection;Team-Based Game;Traitor Game;Variable Player Powers;Voting,Crowdfunding: Kickstarter;Game: Werewolf / Mafia;Series: Postcard Box Games (Indie Boards and Cards);Theme: King Arthur / The Knights of the Round Table / Camelot,Don Eskridge,,Luis Francisco;George Patsouras;Nan Sumana;Rafał Szyma;Marco Turini,Indie Boards & Cards;Board Game VN;Broadway Toys LTD;Devir;Edge Entertainment;Enigma (Bergsala Enigma);Fantasmagoria;Geekach LLC;Gém Klub Kft.;Heidelberger Spieleverlag;Hobby Japan;Kaissa Chess & Games;Korea Boardgames;Lanlalen;Matagot;Portal Games;Raven Distribution;Wargames Club Publishing,,,,,,,7.500,35489,1.51,1.74,5212,1785,2085934,223,,146302,379,52246,4600,893,311,5099,129,169,379,660,1500,4100,8900,11000,5900,3200,https://boardgamegeek.com/boardgame/128882/the-resistance-avalon,,24.99,26.95,19.39,,,23.45,31.49,4.97,,,,21.95,,,,,,,,,,,,,,,11.0,,,
224,Use stones to control space in this ancient game with simple rules.,2,2,30.0,180.0,Go,8.0,,Abstract Strategy,Chaining;Enclosure;Pattern Building;Pattern Recognition;Square Grid,Category: Combinatorial;Components: 13 x 13 Grids;Components: 17 x 17 Grids;Components: 19 x 19 Grids;Components: 2 x 2 Grids;Components: 9 x 9 Grids;Components: Rocks/Stones;Components: Wooden pieces & boards;Digital Implementations: Ai Ai;Digital Implementations: Board Game Arena;Digital Implementations: BoardSpace;Digital Implementations: BrettspielWelt;Digital Implementations: igGameCenter;Digital Implementations: Little Golem;Digital Implementations: MindSports;Digital Implementations: PlayStrategy;Digital Implementations: Tabletopia;Digital Implementations: Triqqy;Players: Two-Player Only Games;Series: 3M Bookshelf Series;Series: Traveller (Ravensburger);Traditional Games: Go,(Uncredited),,Barbro Hennius;Norman Sommer,"(Public Domain);(Unknown);3M;Alga;Ariel Productions Ltd;The Avalon Hill Game Co;Barnes & Noble;Borras Plana S.A.;Brybelly;Carl Weible KG;Carlton Books;Cathay;Cayro, The Games;CHH Games;Copp Clark Publishing Company;Creative Crafthouse;Crisloid;Dal Negro;Dilemma Games;Dujardin;Dynamic Games / Dynamic Design Industries;E. S. Lowe Company Inc.;Fame Products;Fratelli Fabbri Editori (Fabbri Editore);The Game Crafter, LLC;The Game Keeper, Inc.;Gamma Two Games;Gammon Games;General Sportcraft Company;Gentosha Education;Geoludie;Ha Ha Sisters LLC;Hartung-Spiele;Hausser;Hebsacker Verlag;HEMA;Hobby;Ishi Press International;J.P. Raymond Rivarola;Japan Publications, Inc.;John N. Hansen Co., Inc.;John Sands Pty Ltd;Jumbo;Korea Boardgames;L. P. Septímio;L'Impensé Radical;Longfield Games;Ludens Spirit;Michael Stanfield;Milton Bradley;Mitra;Mitsubishi Fuso;Monkey Pod Games;nestorgames;Otto Maier Verlag;Pacific Game Company;Philos;Play All Day Games;Ponnuki;Reiss Games;Sato Kei Shoten Co., Ltd.;Schmidt International;Schmidt Spiele;Shin Kwang Baduk;Skor-Mor;Spear's Games;Das Spiel;Spielquader;U3;Volume-One Products;Waddingtons;Wm F. Drueke & Sons, Inc.;Wood Expressions;Woodstock Spiele;WorldWise Imports, LLC;Yellow Mountain Imports;ZTS Plastyk",,,,,,,7.658,17961,1.90,3.91,4311,1243,970147,224,,74913,168,25705,1725,282,153,2246,109,115,269,500,1100,2300,3600,3500,2200,4300,https://boardgamegeek.com/boardgame/188/go,,28.7,,,,,,,2.42,,,,8.95,,,,,,,,,,,,,15.0,,,,,
